Data,N,Pearson Train,Spearman Train,Pearson Test,Spearman Test,,,,,,,,
aptanastudio,2,0.534402472,0.6111189,0.298135404,0.222827504,,,,,,,,
aptanastudio,2,0.546026157,0.625377454,0.244570921,0.183793794,,,,,,,,
aptanastudio,2,0.565047707,0.627619965,0.352352783,0.276619577,,,,,,,,
aptanastudio,2,0.552804598,0.623494371,0.277518525,0.207707149,,,,,,,,
aptanastudio,2,0.559983981,0.631966869,0.291155823,0.196508606,,,,,,,,
aptanastudio,2,0.556152395,0.621537983,0.290105513,0.19620262,,,,,,,,
aptanastudio,2,0.554587796,0.625175726,0.264182722,0.153338621,,,,,,,,
aptanastudio,2,0.554557224,0.615004741,0.307244705,0.214919677,,,,,,,,
aptanastudio,2,0.564700297,0.624187244,0.29141437,0.249399113,,,,,,,,
aptanastudio,2,0.552842533,0.619027496,0.289619584,0.219054587,,,,,,,,
aptanastudio,3,0.571912378,0.649871214,0.248774938,0.173025544,,,,,,,,
aptanastudio,3,0.594697864,0.669769529,0.254595001,0.173096576,,,,,,,,
aptanastudio,3,0.594751193,0.662655653,0.262323764,0.137617222,,,,,,,,
aptanastudio,3,0.587056667,0.645282381,0.316437517,0.175616863,,,,,,,,
aptanastudio,3,0.5788607,0.658976166,0.217019221,0.135911076,,,,,,,,
aptanastudio,3,0.584165609,0.658814387,0.266841095,0.18137186,,,,,,,,
aptanastudio,3,0.582363166,0.661027534,0.235716773,0.168758131,,,,,,,,
aptanastudio,3,0.583931689,0.652705682,0.269260164,0.181445624,,,,,,,,
aptanastudio,3,0.595993629,0.668354967,0.264539097,0.133340247,,,,,,,,
aptanastudio,3,0.582175602,0.650206201,0.254248471,0.195866582,,,,,,,,
aptanastudio,4,0.613620288,0.686885324,0.286321969,0.17431369,,,,,,,,
aptanastudio,4,0.612049855,0.689792949,0.268566377,0.230512671,,,,,,,,
aptanastudio,4,0.605622782,0.677015883,0.313964829,0.224048716,,,,,,,,
aptanastudio,4,0.601804777,0.684502941,0.280635952,0.238458746,,,,,,,,
aptanastudio,4,0.606097375,0.685863421,0.276592092,0.21528167,,,,,,,,
aptanastudio,4,0.614078799,0.691414667,0.24042226,0.179005932,,,,,,,,
aptanastudio,4,0.6165015,0.685030528,0.295586578,0.234094347,,,,,,,,
aptanastudio,4,0.608131087,0.687577563,0.240315173,0.149949552,,,,,,,,
aptanastudio,4,0.615641867,0.683341061,0.259238632,0.167993166,,,,,,,,
aptanastudio,4,0.616062759,0.689350413,0.287940601,0.233281572,,,,,,,,
aptanastudio,5,0.617654159,0.702413919,0.218691061,0.217006939,,,,,,,,
aptanastudio,5,0.620387523,0.697638337,0.268142095,0.24709329,,,,,,,,
aptanastudio,5,0.620478716,0.702557446,0.244504387,0.16831691,,,,,,,,
aptanastudio,5,0.62623199,0.701887156,0.238401635,0.164676496,,,,,,,,
aptanastudio,5,0.619102813,0.699167188,0.255936111,0.185864663,,,,,,,,
aptanastudio,5,0.614600785,0.702610112,0.230970693,0.201079273,,,,,,,,
aptanastudio,5,0.627282827,0.709462729,0.266765111,0.192058149,,,,,,,,
aptanastudio,5,0.613781171,0.698802816,0.242439729,0.175293119,,,,,,,,
aptanastudio,5,0.610646612,0.700419992,0.275992726,0.199841669,,,,,,,,
aptanastudio,5,0.625841929,0.698331422,0.240856189,0.168490394,,,,,,,,
aptanastudio,10,0.651509909,0.7441103,0.181949003,0.117650267,0.655780311,0.742920663,0.195997137,0.136165154,,,,
aptanastudio,10,0.651950738,0.739840272,0.221685223,0.166291119,,,,,,,,
aptanastudio,10,0.657014694,0.742208986,0.193863532,0.147675147,,,,,,,,
aptanastudio,10,0.65724016,0.740876391,0.194466505,0.132352623,,,,,,,,
aptanastudio,10,0.660122667,0.744343082,0.207783782,0.146161609,,,,,,,,
aptanastudio,10,0.653103964,0.745428762,0.213494252,0.166959097,,,,,,,,
aptanastudio,10,0.657972431,0.746940142,0.208606093,0.134812805,,,,,,,,
aptanastudio,10,0.656143589,0.740903157,0.173753759,0.119256693,,,,,,,,
aptanastudio,10,0.655697131,0.742657839,0.177111273,0.11666674,,,,,,,,
aptanastudio,10,0.657047823,0.741897702,0.187257945,0.113825441,,,,,,,,
bamboo,1,0.483710813,0.54533931,0.191513379,0.153115517,0.484120324,0.565227307,0.185973698,0.176115607,,,,
bamboo,1,0.441033618,0.542570766,0.160647366,0.159817861,,,,,,,,
bamboo,1,0.476315106,0.558214721,0.140124987,0.145008291,,,,,,,,
bamboo,1,0.508783,0.588810343,0.214481079,0.207522779,,,,,,,,
