Data,Pearson Train,Spearman Train,Pearson Test,Spearman Test
appceleratorstudio,0.7140199968461953,0.8266857034317203,0.2891334652682838,0.2572856003497146
aptanastudio,0.7365574944209657,0.8226857986380601,0.37691855517202727,0.27944175153943374
bamboo,0.5765693445233584,0.8429472049845991,0.39560409777285765,0.3748259416013048
clover,0.5703981348514705,0.8268320676474368,0.3293927660158216,0.35216014482969643
datamanagement,0.5711796006537511,0.8278158753003141,0.30271773396703033,0.3783544312865018
duracloud,0.6434164507838714,0.8361133299195906,0.32336619730738553,0.33467129047568
jirasoftware,0.7713633529071043,0.863092983299464,0.4375075501695077,0.4906095042172551
mesos,0.6640504897044697,0.8224535447270233,0.38460179413542783,0.40700599248130387
moodle,0.6106403616640138,0.785990723664551,0.3898185972996125,0.43472423730600024
mule,0.7650594078249553,0.820450734447758,0.2641761818721872,0.26095321041850156
mulestudio,0.63528405048825,0.8098766664984152,0.3249294262561943,0.3147187417481806
springxd,0.6476318898267457,0.8192579361560804,0.36575483517093726,0.37481567367277085
talenddataquality,0.708655888533672,0.8110233044562779,0.3868022387996991,0.3221937775916227
talendesb,0.721735527063916,0.8490757342014049,0.3183826755750315,0.35290106632216023
titanium,0.6733883471592178,0.7946073851992681,0.13630751782210637,0.20891820948657483
usergrid,0.7588233913449938,0.8041543264199036,0.28356857359204446,0.24308353381950787
